OBJECTID,Loc_name,Status,Score,Match_type,X,Y,Match_addr,DISP_LON,DISP_LAT,ARC_Addres,ARC_City,ARC_State,ARC_ZIP,DCODE,DIVISION,RCODE,REGION,REGION_TYP,ECODE,CHAPTER,ADDRESS,CITY,STATE,ZIP
11,Street_Address,M,89,A,-89.910115,35.92848,"630 W WALNUT ST, BLYTHEVILLE, AR, 72315", , ,630 W. Walnut,Blytheville,AR,72315,D22,SWARM,36R04,Oklahoma and Arkansas Region,C,04036,American Red Cross serving Northeast AR,630 W. Walnut,Blytheville,AR,72315
12,Address_Points,M,78,A,-92.327203,34.754689,"401 N MONROE ST, LITTLE ROCK, AR, 72205",-92.32696,34.75468,401 South Monroe,Little Rock,AR,72205,D22,SWARM,36R04,Oklahoma and Arkansas Region,C,04244,American Red Cross serving Greater AR,401 South Monroe,Little Rock,AR,72205
13,Address_Points,M,100,A,-94.133932,36.333773,"1200 W WALNUT ST, ROGERS, AR, 72756",-94.13395,36.33313,1200 West Walnut St.,Rogers,AR,72756,D22,SWARM,36R04,Oklahoma and Arkansas Region,C,04304,American Red Cross serving Northwest AR,1200 West Walnut St.,Rogers,AR,72756
14,Street_Address,M,100,A,-118.081318,34.602278,"2715 E AVE P, PALMDALE, CA, 93550", , ,2715 East Avenue P,Palmdale,CA,93550,D21,Pacific,05R12,Los Angeles Region,C,05022,American Red Cross of Northern Valleys,2715 East Avenue P,Palmdale,CA,93550
15,Address_Points,M,100,A,-121.634732,39.161547,"2125 E ONSTOTT RD, YUBA CITY, CA, 95991",-121.63412,39.16155,2125 E. Onstott Road,Yuba City,CA,95991,D21,Pacific,05R20,Gold Country Region,C,05052,American Red Cross serving Northeastern California,2125 E. Onstott Road,Yuba City,CA,95991
16,Street_Address,T,87,A,-121.921031,36.552582,8TH AVE, , ,8th Ave at Dolores,Carmel,CA,93921,D21,Pacific,05R28,Northern California Coastal Region,C,05058,American Red Cross of the Central Coast,8th Ave at Dolores,Carmel,CA,93921
17,Address_Points,M,100,A,-119.81579,36.808462,"1300 W SHAW AVE, FRESNO, CA, 93711",-119.81578,36.8089,1300 W Shaw Ave. 4B,Fresno,CA,93711,D21,Pacific,05R04,Central California Region,C,05112,American Red Cross of Central Valley,1300 W Shaw Ave. 4B,Fresno,CA,93711
18,Address_Points,M,100,A,-118.154302,33.807208,"3150 E 29TH ST, LONG BEACH, CA, 90806",-118.15424,33.80677,3150 E. 29th Street,Long Beach,CA,90806,D21,Pacific,05R12,Los Angeles Region,C,05132,"American Red Cross serving Greater Long Beach, Rio Hondo and South Bay",3150 E. 29th Street,Long Beach,CA,90806
19,Address_Points,M,84,A,-119.05812,35.389664,"5035 GILMORE AVE, BAKERSFIELD, CA, 93308",-119.05814,35.38939,5035 Gilmore Ave.,Bakersfield,CA,93302,D21,Pacific,05R04,Central California Region,C,05147,American Red Cross of Kern County,5035 Gilmore Ave.,Bakersfield,CA,93302
20,Address_Points,T,78,A,-118.452544,34.046878,"11423 OHIO AVE, LOS ANGELES, CA, 90025",-118.45281,34.04701,11355 Ohio Ave.,Los Angeles,CA,90025,D21,Pacific,05R12,Los Angeles Region,RH,05180,American Red Cross of Los Angeles,11355 Ohio Ave.,Los Angeles,CA,90025
21,Address_Points,M,100,A,-117.837938,33.749877,"601 N GOLDEN CIRCLE DR, SANTA ANA, CA, 92705",-117.83782,33.75033,601 N. Golden Circle Dr.,Santa Ana,CA,92705,D21,Pacific,05R32,Desert to the Sea Region,RH,05264,American Red Cross of Orange County,601 N. Golden Circle Dr.,Santa Ana,CA,92705
22,Address_Points,M,84,A,-118.159617,34.12689,"430 MADELINE DR, PASADENA, CA, 91105",-118.15962,34.12647,430 Madeline Drive,Pasadena,CA,91109,D21,Pacific,05R12,Los Angeles Region,C,05280,American Red Cross of the San Gabriel Pomona Valley,430 Madeline Drive,Pasadena,CA,91109
23,Address_Points,M,100,A,-122.765126,38.510977,"5297 AERO DR, SANTA ROSA, CA, 95403",-122.76547,38.51071,5297 Aero Dr.,Santa Rosa,CA,95403,D21,Pacific,05R28,Northern California Coastal Region,C,05310,American Red Cross of the California Northwest,5297 Aero Dr.,Santa Rosa,CA,95403
24,Address_Points,M,100,A,-117.292967,33.937313,"6235 RIVER CREST DR, RIVERSIDE, CA, 92507",-117.29285,33.93839,6235 River Crest Drive,Riverside,CA,92507,D21,Pacific,05R32,Desert to the Sea Region,C,05324,American Red Cross of Riverside County,6235 River Crest Drive,Riverside,CA,92507
25,Address_Points,M,97,A,-116.31169,33.759931,"39645 ENTREPRENEUR LN, PALM DESERT, CA, 92211",-116.31214,33.75989,39645 Entreprenuer Lane,Palm Desert,CA,92211,D21,Pacific,05R32,Desert to the Sea Region,C,05328,American Red Cross of Coachella Valley and Morongo Basin,39645 Entreprenuer Lane,Palm Desert,CA,92211
26,Address_Points,M,100,A,-121.434929,38.595559,"1565 EXPOSITION BLVD, SACRAMENTO, CA, 95815",-121.43484,38.59609,1565 Exposition Blvd.,Sacramento,CA,95815,D21,Pacific,05R20,Gold Country Region,RH,05332,American Red Cross of Sierra-Delta,1565 Exposition Blvd.,Sacramento,CA,95815
27,Address_Points,M,94,A,-117.288057,34.100837,"202 W RIALTO AVE, SAN BERNARDINO, CA, 92408",-117.28782,34.10113,202 W Rialto Ave,San Bernadino,CA,92408,D21,Pacific,05R32,Desert to the Sea Region,C,05344,American Red Cross serving San Bernardino County,202 W Rialto Ave,San Bernadino,CA,92408
28,Address_Points,M,100,A,-117.12304,32.81335,"3950 CLL FORTUNADA, SAN DIEGO, CA, 92123",-117.12343,32.81362,3950 Calle Fortunada,San Diego,CA,92123,D21,Pacific,05R24,San Diego Region,RH,05348,American Red Cross of San Diego and Imperial Counties,3950 Calle Fortunada,San Diego,CA,92123
29,Address_Points,M,100,A,-119.724014,34.437786,"2707 STATE ST, SANTA BARBARA, CA, 93105",-119.72433,34.43744,2707 State Street,Santa Barbara,CA,93105,D21,Pacific,05R04,Central California Region,C,05376,American Red Cross of Santa Barbara and San Luis Obispo,2707 State Street,Santa Barbara,CA,93105
30,Address_Points,M,100,A,-121.931454,37.390746,"2731 N 1ST ST, SAN JOSE, CA, 95134",-121.93211,37.39024,2731 N. 1st Street,San Jose,CA,95134,D21,Pacific,05R28,Northern California Coastal Region,C,05378,American Red Cross of the Silicon Valley,2731 N. 1st Street,San Jose,CA,95134
31,Address_Points,M,100,A,-118.487249,34.020671,"1450 11TH ST, SANTA MONICA, CA, 90401",-118.48756,34.02049,1450 11th Street,Santa Monica,CA,90401,D21,Pacific,05R12,Los Angeles Region,C,05388,American Red Cross of Santa Monica Bay,1450 11th Street,Santa Monica,CA,90401
32,Address_Points,M,100,A,-119.008289,34.198647,"836 CLL PLANO, CAMARILLO, CA, 93012",-119.00767,34.19863, 836 Calle Plano,Camarillo,CA,93012,D21,Pacific,05R04,Central California Region,RH,05468,American Red Cross of Ventura County, 836 Calle Plano,Camarillo,CA,93012
33,Address_Points,T,78,A,-122.40376,37.787419,"701 MARKET ST, SAN FRANCISCO, CA, 94103",-122.40357,37.78717,663 Market Street,San Francisco,CA,94103,D21,Pacific,05R28,Northern California Coastal Region,RH,05503,American Red Cross of the Bay Area,663 Market Street,San Francisco,CA,94103
34,Address_Points,M,76,A,-105.078438,40.504477,"120 W SATURN DR, FORT COLLINS, CO, 80525",-105.07844,40.50473,120 Saturn Drive,Ft. Collins,CO,80525,D22,SWARM,06R08,Colorado and Wyoming Region,C,06144,American Red Cross of Northern Colorado,120 Saturn Drive,Ft. Collins,CO,80525
35,Address_Points,M,100,A,-108.564066,39.073386,"506 GUNNISON AVE, GRAND JUNCTION, CO, 81501",-108.56405,39.07371,506 Gunnison Ave.,Grand Junction,CO,81501,D22,SWARM,06R08,Colorado and Wyoming Region,C,06164,American Red Cross of Western Colorado,506 Gunnison Ave.,Grand Junction,CO,81501
36,Address_Points,M,100,A,-104.985026,39.723488,"444 SHERMAN ST, DENVER, CO, 80203",-104.98473,39.7235,444 Sherman St.,Denver,CO,80203,D22,SWARM,06R08,Colorado and Wyoming Region,RH,06166,Mile High Chapter,444 Sherman St.,Denver,CO,80203
37,Address_Points,M,100,A,-104.842267,38.818051,"1040 S 8TH ST, COLORADO SPRINGS, CO, 80905",-104.84268,38.8181,1040 S. 8th Street,Colorado Springs,CO,80905,D22,SWARM,06R08,Colorado and Wyoming Region,C,06204,Pikes Peak Chapter,1040 S. 8th Street,Colorado Springs,CO,80905
38,Street_Address,M,100,A,-72.792816,41.738454,"209 FARMINGTON AVE, FARMINGTON, CT, 06032", , ,209 Farmington Ave.,Farmington,CT,06032,D27,Northeast,07R08,Connecticut and Rhode Island Region,RH,07038,American Red Cross of Connecticut,209 Farmington Ave.,Farmington,CT,06032
39,Address_Points,M,100,A,-75.548723,39.745944,"100 W 10TH ST, WILMINGTON, DE, 19801",-75.54883,39.74573,100 West 10th St.501,Wilmington,DE,19801,D26,Mid-Atlantic,20R04,Greater Chesapeake Region,C,08004,American Red Cross serving Delmarva,100 West 10th St.501,Wilmington,DE,19801
40,Address_Points,M,100,A,-77.045797,38.896013,"2025 E ST NW, WASHINGTON, DC, 20006",-77.0458,38.89642,"2025 E Street NW, #SE-1068",Washington,DC,20006,D26,Mid-Atlantic,09R04,National Capital Area Region,C,09004,American Red Cross serving the District of Columbia,"2025 E Street NW, #SE-1068",Washington,DC,20006
41,Address_Points,M,87,A,-80.140787,26.130137,"600 NE 3RD AVE, FORT LAUDERDALE, FL, 33304",-80.14048,26.13015,600 NE 3rd Avenue,Ft. Lauderdale,FL,33304,D25,SEC,10R12,South Florida Region,C,10024,American Red Cross of Broward County,600 NE 3rd Avenue,Ft. Lauderdale,FL,33304
42,Address_Points,M,100,A,-81.351877,28.542406,"5 N BUMBY AVE, ORLANDO, FL, 32803",-81.35147,28.54279,5 N. Bumby Avenue,Orlando,FL,32803,D25,SEC,10R28,Central Florida Region,C,10029,American Red Cross of Greater Orlando,5 N. Bumby Avenue,Orlando,FL,32803
43,Address_Points,M,100,A,-80.238903,25.768924,"335 SW 27TH AVE, MIAMI, FL, 33135",-80.23855,25.76893,335 SW 27th Avenue,Miami,FL,33135,D25,SEC,10R12,South Florida Region,C,10060,American Red Cross of Greater Miami and the Keys,335 SW 27th Avenue,Miami,FL,33135
44,Address_Points,M,100,A,-81.048571,29.206439,"341 WHITE ST, DAYTONA BEACH, FL, 32114",-81.04809,29.20669,341 White St.,Daytona Beach,FL,32114,D25,SEC,10R28,Central Florida Region,C,10061,American Red Cross of Florida's Space Coast,341 White St.,Daytona Beach,FL,32114
45,Address_Points,M,100,A,-81.727434,28.022994,"147 AVE A NW, WINTER HAVEN, FL, 33881",-81.72743,28.02309,"147 Avenue A, NW",Winter Haven,FL,33881,D25,SEC,10R28,Central Florida Region,C,10090,American Red Cross of Mid Florida,"147 Avenue A, NW",Winter Haven,FL,33881
46,Address_Points,M,100,A,-82.498198,27.957244,"3310 W MAIN ST, TAMPA, FL, 33607",-82.49848,27.95685,3310 W. Main Street,Tampa,FL,33607,D25,SEC,10R28,Central Florida Region,RH,10091,American Red Cross of Tampa Bay,3310 W. Main Street,Tampa,FL,33607
47,Address_Points,M,100,A,-80.402292,27.644712,"2506 17TH AVE, VERO BEACH, FL, 32960",-80.40198,27.64471,2506 17th Ave,Vero Beach,FL,32960,D25,SEC,10R12,South Florida Region,C,10120,American Red Cross of Florida's Coast to Heartland,2506 17th Ave,Vero Beach,FL,32960
48,Street_Address,T,60,A,-81.876384,26.568664,"1999 CYPRESS DR, FORT MYERS, FL, 33907", , ,7001-11-51 Cypress Trace 109-113,Fort Myers,FL,33907,D25,SEC,10R12,South Florida Region,C,10164,American Red Cross of Florida's Southern Gulf Coast,7001-11-51 Cypress Trace 109-113,Fort Myers,FL,33907
49,Address_Points,M,100,A,-81.676784,30.316076,"751 RIVERSIDE AVE, JACKSONVILLE, FL, 32204",-81.67592,30.31592,751 Riverside Ave.,Jacksonville,FL,32204,D25,SEC,10R08,North Florida Region,RH,10198,American Red Cross of Northeast Florida,751 Riverside Ave.,Jacksonville,FL,32204
50,Address_Points,M,100,A,-80.097484,26.763754,"1250 NORTHPOINT PKWY, WEST PALM BEACH, FL, 33407",-80.09732,26.76306,1250 Northpoint Parkway,West Palm Beach,FL,33407,D25,SEC,10R12,South Florida Region,RH,10228,American Red Cross of Greater Palm Beach and Martin County,1250 Northpoint Parkway,West Palm Beach,FL,33407
51,Address_Points,M,100,A,-87.217669,30.416018,"222 N BAYLEN ST, PENSACOLA, FL, 32502",-87.21743,30.41607,222 N Baylen St,Pensacola,FL,32502,D25,SEC,10R08,North Florida Region,C,10240,American Red Cross of Northwest Florida,222 N Baylen St,Pensacola,FL,32502
52,Address_Points,T,78,A,-82.449472,27.317062,"2033 CANTU CT, SARASOTA, FL, 34232",-82.44889,27.31752,2001 Cantu Court,Sarasota,FL,34232,D25,SEC,10R28,Central Florida Region,C,10276,American Red Cross of Southwest Florida,2001 Cantu Court,Sarasota,FL,34232
53,Address_Points,M,100,A,-84.220813,30.449518,"1115 EASTERWOOD DR, TALLAHASSEE, FL, 32311",-84.22046,30.45005,1115 Easterwood Drive,Tallahassee,FL,32311,D25,SEC,10R08,North Florida Region,C,10296,American Red Cross of Capital Area Florida,1115 Easterwood Drive,Tallahassee,FL,32311
54,Address_Points,M,100,A,-84.159254,31.578437,"500 PINE AVE, ALBANY, GA, 31701",-84.15923,31.57805,500 Pine Ave,Albany,GA,31701,D25,SEC,11R04,Georgia Region,C,11008,American Red Cross of Southwest Georgia,500 Pine Ave,Albany,GA,31701
55,Address_Points,T,77,A,-81.974531,33.477238,"1232 ELLIS ST, AUGUSTA, GA, 30901",-81.97465,33.47694,1322 Ellis St.,Augusta,GA,30901,D25,SEC,11R04,Georgia Region,C,11024,American Red Cross of Augusta Area Georgia,1322 Ellis St.,Augusta,GA,30901
56,Address_Points,T,78,A,-83.381089,33.960723,"500 PULASKI ST, ATHENS, GA, 30601",-83.38048,33.96104,490 Pulaski St.,Athens,GA,30601,D25,SEC,11R04,Georgia Region,C,11189,American Red Cross of Northeast Georgia,490 Pulaski St.,Athens,GA,30601
57,Address_Points,M,76,A,-85.042991,33.027766,"700 DALLIS ST, LAGRANGE, GA, 30240",-85.04299,33.02797,"900 Dallis Street, Suite C",LaGrange,GA,30240,D25,SEC,11R04,Georgia Region,C,11364,American Red Cross of Central Midwest Georgia,"900 Dallis Street, Suite C",LaGrange,GA,30240
58,Address_Points,M,100,A,-84.37502,33.808899,"1955 MONROE DR NE, ATLANTA, GA, 30324",-84.37371,33.808,"1955 Monroe Dr., NE",Atlanta,GA,30324,D25,SEC,11R04,Georgia Region,RH,11378,American Red Cross of Metropolitan Atlanta,"1955 Monroe Dr., NE",Atlanta,GA,30324
59,Address_Points,M,100,A,-84.958797,32.502364,"3940 ROSEMONT DR, COLUMBUS, GA, 31904",-84.9584,32.50209,3940 Rosemont Dr.,Columbus,GA,31904,D25,SEC,11R04,Georgia Region,C,11412,American Red Cross of West Central Georgia,3940 Rosemont Dr.,Columbus,GA,31904
60,Address_Points,M,89,A,-85.197989,34.275854,"112 JOHN MADDOX DR NW, ROME, GA, 30165",-85.1985,34.27634,112 John Maddox Dr.,Rome,GA,30165,D25,SEC,11R04,Georgia Region,C,11468,American Red Cross of Northwest Georgia,112 John Maddox Dr.,Rome,GA,30165
61,Address_Points,M,84,A,-81.164242,32.065347,"41 PARK OF COMMERCE WAY, SAVANNAH, GA, 31405",-81.16528,32.06571,"41 Park of Commerce Way, Bldg. 200",Savannah,GA,31450,D25,SEC,11R04,Georgia Region,C,11472,American Red Cross of Southeast and Coastal Georgia,"41 Park of Commerce Way, Bldg. 200",Savannah,GA,31450
62,Address_Points,M,100,A,-83.281534,30.835893,"509 N PATTERSON ST, VALDOSTA, GA, 31601",-83.28092,30.83595,"509 N. Patterson St., Suite 201",Valdosta,GA,31601,D25,SEC,11R04,Georgia Region,C,11542,American Red Cross of South Georgia,"509 N. Patterson St., Suite 201",Valdosta,GA,31601
63,Address_Points,T,78,A,-116.248189,43.602957,"5383 W FRANKLIN RD, BOISE, ID, 83705",-116.24821,43.60257,5371 W Franklin Rd,Boise,ID,83705,D23,North Central,12R04,Idaho and Montana Region,RH,12024,American Red Cross of Greater Idaho,5371 W Franklin Rd,Boise,ID,83705
64,Address_Points,M,100,A,-89.5975,40.691231,"311 W JOHN H GWYNN JR AVE, PEORIA, IL, 61605",-89.5977,40.6918,311 W John H Gwynn Jr Ave.,Peoria,IL,61605,D23,North Central,13R12,American Red Cross of Central and Southern Illinois Region,RH,13054,American Red Cross serving Central Illinois,311 W John H Gwynn Jr Ave.,Peoria,IL,61605
65,Address_Points,T,78,A,-87.68269,41.873938,"2234 W HARRISON ST, CHICAGO, IL, 60612",-87.6827,41.8742,2200 W. Harrison Street,Chicago,IL,60612,D23,North Central,13R04,American Red Cross of Chicago and Northern Illinois Region,RH,13302,American Red Cross of Greater Chicago,2200 W. Harrison Street,Chicago,IL,60612
66,Address_Points,M,100,A,-90.524161,41.506826,"1100 RIVER DR, MOLINE, IL, 61265",-90.52376,41.50652,1100 River Drive,Moline,IL,61265,D23,North Central,13R12,American Red Cross of Central and Southern Illinois Region,C,13364,American Red Cross serving Greater Quad Cities Area West Central Illinois,1100 River Drive,Moline,IL,61265
67,Address_Points,M,100,A,-89.090498,42.278057,"727 N CHURCH ST, ROCKFORD, IL, 61103",-89.09024,42.27783,727 North Church St.,Rockford,IL,61103,D23,North Central,13R04,American Red Cross of Chicago and Northern Illinois Region,C,13378,American Red Cross of Northwest Illinois,727 North Church St.,Rockford,IL,61103
68,Address_Points,T,78,A,-89.670669,39.774624,"1035 OUTER PARK DR, SPRINGFIELD, IL, 62704",-89.6708,39.7757,1045 Outer Park Drive,Springfield,IL,62704,D23,North Central,13R12,American Red Cross of Central and Southern Illinois Region,C,13392,American Red Cross serving South Central Illinois,1045 Outer Park Drive,Springfield,IL,62704
69,Address_Points,M,79,A,-88.123043,41.662346,"1295 WINDHAM PKWY, ROMEOVILLE, IL, 60446",-88.12404,41.66142,1293 Windham Parkway,Romeoville,IL,60446,D23,North Central,13R04,American Red Cross of Chicago and Northern Illinois Region,C,13490,American Red Cross of Southwest Suburbs,1293 Windham Parkway,Romeoville,IL,60446
70,Address_Points,M,75,A,-85.124173,41.118571,"1212 E CALIFORNIA RD, FORT WAYNE, IN, 46825",-85.12417,41.11855,1212 E Calfornia Road,Fort Wayne,IN,46895,D24,Crossroads,14R12,Indiana Region,C,14006,American Red Cross of Northeast Indiana,1212 E Calfornia Road,Fort Wayne,IN,46895
71,Address_Points,M,100,A,-87.326397,41.467454,"791 E 83RD AVE, MERRILLVILLE, IN, 46410",-87.3266,41.46698,791 E 83rd Ave,Merrillville,IN,46410,D24,Crossroads,14R12,Indiana Region,C,14026,American Red Cross of Northwest Indiana,791 E 83rd Ave,Merrillville,IN,46410
72,Street_Address,M,100,A,-87.501743,37.976323,"29 S STOCKWELL RD, EVANSVILLE, IN, 47714", , ,29 South Stockwell Rd,Evansville,IN,47714,D24,Crossroads,14R12,Indiana Region,C,14088,American Red Cross of Southern Indiana,29 South Stockwell Rd,Evansville,IN,47714
73,Address_Points,M,100,A,-86.149958,39.781072,"441 E 10TH ST, INDIANAPOLIS, IN, 46202",-86.15007,39.78081,441 E 10th St.,Indianapolis,IN,46202,D24,Crossroads,14R12,Indiana Region,RH,14164,American Red Cross of Central Indiana,441 E 10th St.,Indianapolis,IN,46202
74,Address_Points,M,89,A,-86.202073,41.672931,"3220 E JEFFERSON BLVD, SOUTH BEND, IN, 46615",-86.20177,41.67243,3220 E Jefferson,South Bend,IN,46615,D24,Crossroads,14R12,Indiana Region,C,14328,American Red Cross of Northern Indiana,3220 E Jefferson,South Bend,IN,46615
75,Address_Points,M,100,A,-87.41382,39.459474,"700 S 3RD ST, TERRE HAUTE, IN, 47807",-87.41347,39.45931,700 South 3rd ST,Terre Haute,IN,47807,D24,Crossroads,14R12,Indiana Region,C,14386,American Red Cross of West Central Indiana,700 South 3rd ST,Terre Haute,IN,47807
76,Address_Points,M,100,A,-93.645339,41.584419,"2116 GRAND AVE, DES MOINES, IA, 50312",-93.64534,41.58384,2116 Grand Avenue,Des Moines,IA,50312,D23,North Central,15R08,Iowa Region,RH,15080,American Red Cross of Central Iowa,2116 Grand Avenue,Des Moines,IA,50312
77,Address_Points,M,100,A,-90.703171,42.50609,"2400 ASBURY RD, DUBUQUE, IA, 52001",-90.70228,42.50686,2400 Asbury Road,Dubuque,IA,52001,D23,North Central,15R08,Iowa Region,C,15148,American Red Cross of Northeast Iowa,2400 Asbury Road,Dubuque,IA,52001
78,Address_Points,M,100,A,-91.649366,42.041428,"6300 ROCKWELL DR NE, CEDAR RAPIDS, IA, 52402",-91.64928,42.04193,6300 Rockwell Dr. NE,Cedar Rapids,IA,52402,D23,North Central,15R08,Iowa Region,C,15198,American Red Cross of South and Eastern Iowa,6300 Rockwell Dr. NE,Cedar Rapids,IA,52402
79,Address_Points,M,100,A,-96.465793,42.496539,"4200 WAR EAGLE DR, SIOUX CITY, IA, 51109",-96.46623,42.49564,4200 War Eagle Drive,Sioux City,IA,51109,D23,North Central,15R08,Iowa Region,C,15422,American Red Cross of North and Western Iowa,4200 War Eagle Drive,Sioux City,IA,51109
80,Address_Points,M,89,A,-95.693779,39.036919,"1221 SW 17TH ST, TOPEKA, KS, 66604",-95.69379,39.03644,1221 SW 17th,Topeka,KS,66604,D23,North Central,27R12,Kansas Nebraska SW Iowa Region,C,16213,American Red Cross of Capital Area Kansas,1221 SW 17th,Topeka,KS,66604
81,Street_Address,M,73,A,-97.314753,37.686182,"1900 E DOUGLAS AVE, WICHITA, KS, 67214", , ,1900 E. Douglas,Wichita,KS,67201,D23,North Central,27R12,Kansas Nebraska SW Iowa Region,C,16274,American Red Cross of Midway Kansas,1900 E. Douglas,Wichita,KS,67201
82,Address_Points,M,84,A,-97.624857,38.838852,"145 S BROADWAY BLVD, SALINA, KS, 67401",-97.62447,38.83899,145 South Broadway Blvd.,Salina,KS,67402,D23,North Central,27R12,Kansas Nebraska SW Iowa Region,C,16298,American Red Cross of Western Kansas,145 South Broadway Blvd.,Salina,KS,67402
83,Address_Points,M,100,A,-82.632826,38.45155,"4201 BLACKBURN AVE, ASHLAND, KY, 41101",-82.63276,38.45173,4201 Blackburn Ave.,Ashland,KY,41101,D24,Crossroads,17R08,Kentucky Region,C,17047,American Red Cross of Eastern Kentucky,4201 Blackburn Ave.,Ashland,KY,41101
84,Address_Points,M,96,A,-84.49016,38.086021,"1450 NEWTOWN PIKE, LEXINGTON, KY, 40511",-84.48944,38.08588,1450 Newton Pike,Lexington,KY,40511,D24,Crossroads,17R08,Kentucky Region,C,17048,American Red Cross of Blue Grass,1450 Newton Pike,Lexington,KY,40511
85,Street_Address,T,71,A,-86.410317,36.923639,"5301 SCOTTSVILLE RD, BOWLING GREEN, KY, 42101", , ,"1647 Scottsville, Rd.",Bowling Green,KY,42101,D24,Crossroads,17R08,Kentucky Region,C,17052,American Red Cross of South Central Kentucky,"1647 Scottsville, Rd.",Bowling Green,KY,42101
86,Street_Address,M,84,A,-85.74495,38.247563,"510 E CHESTNUT ST, LOUISVILLE, KY, 40202", , ,510 E Chestnut St.,Louisville,KY,40201,D24,Crossroads,17R08,Kentucky Region,RH,17340,American Red Cross of Louisville Area,510 E Chestnut St.,Louisville,KY,40201
87,Address_Points,M,87,A,-88.604226,37.086559,"232 N 8TH ST, PADUCAH, KY, 42001",-88.60413,37.08662,232 N. 8th Street,Paducah,KY,42001,D24,Crossroads,17R08,Kentucky Region,C,17381,American Red Cross of Western Kentucky,232 N. 8th Street,Paducah,KY,42001
88,Street_Address,T,60,A,-91.011302,30.416548,"15489 SHERWOOD CT, BATON ROUGE, LA, 70816", , ,4655 Sherwood Common,Baton Rouge,LA,70816,D25,SEC,18R08,Louisiana Region,C,18125,American Red Cross of Capital West Louisiana,4655 Sherwood Common,Baton Rouge,LA,70816
89,Address_Points,M,100,A,-93.725802,32.418727,"805 BROOK HOLLOW DR, SHREVEPORT, LA, 71105",-93.72609,32.41816,805 Brook Hollow Drive,Shreveport,LA,71105,D25,SEC,18R08,Louisiana Region,C,18142,American Red Cross of North Louisiana,805 Brook Hollow Drive,Shreveport,LA,71105
