"COMMENTTEXT","PATTERN_POLARITY","PATTERN_SUBJECTIVITY","NAIVESBAYES_PROBABILITY_POSITIVE","NAIVESBAYES_PROBABILITY_NEGATIVE"
"I thank you for the commitment to the environment you are showing with this proposal. I am greatly in favor and hope it passes. It's needed even more now with current anti-environmental policies being put into play at the federal level.",0.433333333,0.55,0.630276149,0.369723851
"Thank you for (1) offering the full rebates allowed by law and (2) making all qualifying vehicles purchased after January 1, 2018 eligible for those rebates.",0.35,0.55,0.981374958,0.018625042
"As a life-long Oregonian, I appreciate our clean environment. Thanks for helping keep it that way and making it better.",0.355555556,0.466666667,0.8101236,0.1898764
"OAR 340 is a fantastic idea! Bravo and keep up the great work.",0.6,0.825,0.939135934,0.060864066
"nan",0,0,0.75,0.25
"The rebate should be made effective August 18th, 2017 when Gov. Brown signed HB2017.  An effective date later than that is discriminatory to those individuals who purchased in that time window.  Thank you.",0.4,0.533333333,0.532317638,0.467682362
"I am 100% in support of this rebate! Clean air now.",0.366666667,0.7,0.661553837,0.338446163
"I strongly support the proposed electric vehicle rebate program.  In particular I support the incentives associated with neighborhood vehicles and motorcycles, as smaller 'city' vehicles have particular value for typical short trips in urban areas.",0.085714286,0.385714286,0.079882484,0.920117516
"I support the draft rules and would like to compliment the DEQ for offering the full $2,500 rebate amount and offering the Charge Ahead program to encourage used EV sales for low and moderate income families.",0.116666667,0.516666667,0.550088602,0.449911398
"If we don't do everything possible to stop global warming, our progeny will suffer irreparable damage, if life is even sustainable",0,0.5,0.994940014,0.005059986
"When we'd purchased our Chevy Bolt, the incentives, both Federal and State,  were an important factor in that decision. Given that government has the role of providing incentives and disincentives to help move industry and individuals towards a more desirable outcome, we support  OAR340 EV Rebate 2018 rule making being considered. Climate change is real. Oregon's steps to mitigate the worse of what is coming, should be supported. The International Monetary Fund estimates the world provides $5.3 TRILLION annually to subsidize fossil fuels. Their estimate for renewable energy subsidies to be $120 Billion. That's 0.02 percent. This needs to change. It is backwards. Support OAR340 EV Rebate, please.",0.14,0.48,0.994967268,0.005032732
"I believe that  electric cars are the way to go.  And for the State of Oregon to offer a rebate encourages people to make more conscientious decisions about  gas vs. zero emission.  I hope Oregon decides to  do the rebate program.  It offers an incentive for people who wouldn't consider it without one.",0.3,0.25,0.994841812,0.005158188
"Thankyou for working to promote electric vehicles and protect our enviroment",0,0,0.470171654,0.529828346
"I support offering the full rebate allowed by law as soon as possible.",0.175,0.775,0.843241273,0.156758727
"I am very happy to see Oregon embracing the opportunity to incentivize the adoption of zero emission vehicles.   I sincerely hope that the incentives are significant enough to have meaningful impact.   We drastically need to accelerate the move away from fossil fuels.",0.475,0.675,0.758900686,0.241099314
"I support rulemaking that grants purchasers of electric vehicles on or after January 1, 2018 a rebate of up to $7,500. I understand that this rebate is funded by a fee assessed to new car purchasers. I believe that this type of incentive will have a positive impact on zero emission vehicle purchases and as such will be contributory to helping reduce the State's greenhouse gas emissions.",0.121212121,0.5,0.980474049,0.019525951
"I purchased a plug-in hybrid on August 29, 2017.  Part of my incentive to buy was my understanding of a State rebate.  The rebate program is/can be great environmentally.  Please stick with the 2017 Rules and go forth with the Program.",0.8,0.75,0.55126956,0.44873044
"We need the EV rebate in Oregon!",0,0,0.344148327,0.655851673
"Thank you for offering this rebate.  ""Base MSRP"" rule needs to be defined into specifics. It is important for this rebate to cover the Tesla Model 3, regardless of options, battery size, and software packages.  The base model for the Tesla Model 3 is $35,000, but current packages can exceed $50k.  This model is being mass-produced and a significant amount of Oregonians, needing this credit, will be purchasing this model. This model may be above our normal range of affordability now, but this vehicle is important in terms of showing how zero-emission EVs are superior to internal combustion engine cars in terms of safety, efficiency, technology, performance, maintenance, and aesthetics. These rebates are critical for the initial transition to a new technology.",0.043181818,0.629195804,0.999903226,0.0000968
"As a first generation voting 70 year old Oregonian, I would like to see the rebate available to everyone.",0.25,0.311111111,0.621479897,0.378520103
"Please see my attached comments",0,0,0.241316864,0.758683136
"I purchased a Chevrolet Bolt EV in January 2017 primarily to take advantage of the federal tax rebate (of up to $7,500). While I am also interested in a non-emissions means of transportation, this federal tax rebate made the proposition more immediately-palatable and motivated me to act, quickly, as it is to eventually be phased-out.     As the air quality in the greater Portland, Oregon area continues to be challenged by fossil fuel-based transportation (particularly, diesel emissions), there is importance in the state encouraging its citizens to contribute to the effort to improve their environment and, thereby, the health of their fellow citizens -particularly given the fact that many of these citizens are relatively-forced to reside in housing that is routinely and exceptional close to the source of such emissions (i.e. Low-income housing located near major thoroughfares such as interstate highways).     Additionally, affordability is broadening across the socioeconomic-spectrum for currently-available, high-quality electric vehicles with exceptional range; as the ���electric highway�۝ continues to take shape, more of the region will continue to become accessible to them.     Through an incentive-program that can truly be accessed by all of its citizens, Oregon�۪s DEQ is demonstrating the fundamental-commitment of leadership necessary to transform the common form of energy used for transportation into one that is more-consistent with the public good.     Andrew Harbison,  NE Portland",0.279375,0.530416667,0.999999995,0.00000000507
"DEQ staff and counsel should update public on AAA court case and its impact on the EV rebate program. I'm concerned there is too much uncertainty for dealers and public to participate in a program that may not be funded.",0.066666667,0.111111111,0.513113923,0.486886077
"test",0,0,0.462121212,0.537878788
"I think it would be wise to consider the alternative of giving out rebates to those who are low and middle income first as opposed to a first come first serve basis. As other public commenters have said, those who have already purchased a car and applied for the rebate via the Phase 1 application are likely people who would have purchased an EV even if the rebate program were non-existent. Please see attached for 9 additional comments.",0.147222222,0.40462963,0.820674278,0.179325722
"Consumer incentives are key for the early adoption of electric cars.  According to the Union of Concerned Scientists, a Tesla Model 3 driven in Corvallis (my home town) is the CO2 equivalent of driving a gas car that gets 93 MPG.  I support an EV rebate program.",0.05,0.65,0.999335787,0.000664213
"I would like the committee to consider the effective date to be after August 2017, when Governor Brown signed the bill.  I am wondering how many people purchased electric vehicles after that date thinking it would be in effect in 2017.  I was one of those people.",0.55,0.65,0.80350268,0.19649732
"I think it is wise to offset some of the extra cost that is built into an EV. It helps potential buyers consider EV's instead of going with traditional ICE cars. As we know ICE cars are bad for the environment and require fossil fuels. EV's require less maintenance and can be charged at home at night. Oregon is a leader in many things, and I would love to see it continue to be a leader in the EV realm by offering this tax credit for EV purchases. Please do what is right for the state and environment and fund this bill.",0.124338624,0.568783069,0.999697608,0.000302392
"The Alliance of Automobile Manufacturers and Global Automakers respectfully submit the attached comments on the EV Rebate 2018 Rulemaking",0.25,0.35,0.185680663,0.814319337
"Any rebates should be gradually reduced to encourage more innovation.Not paying gas taxes should be enough of an incentive.",0.25,0.5,0.903448532,0.096551468
"I specifically delayed the purchase of my EV until after October 6, 2017 when the bill was to become effective. I ask the committee to consider making these late 2017 purchases retroactive and eligible for the rebate. It was not possible for our family to wait until after January 1, 2018 when we might have had a better change of getting the rebate.",0.2,0.725,0.999396667,0.000603333
"I am in favor of rebates for zero-emissions vehicles.",0,0,0.276465839,0.723534161
"Oregon should extend the rebate amount to $7000 to match that of California. see link https://cleanvehiclerebate.org/eng/eligible-vehicles",0,0,0.659215124,0.340784876
"I think its important for our state to ""catch up"" to other states such as Michagan and California with this rebate. I know I for one will use it.  January 1st 2018 as a start date seems fair.  I see a major push by GM today to add onto the federal rebate, or scrap the 200k car limit on it at least.",0.122916667,0.6125,0.995467099,0.004532901
"The EV rebate program is important to the country, and to our children and their children. Rebates should be available to people regardless of whether they live in a poor-air quality area or not, as the rebate program supports the entire industry, making zero-emission vehicles more accessible generally.",0.265909091,0.557142857,0.99889136,0.00110864
"I drive a gas-guzzling 1995 Ford Explorer, and I've been waiting to lease a zero emissions vehicle to replace my old SUV, but cannot yet afford to do so.  I am hopeful that OR will lead the way in making zero emissions rebates and incentives a reality for all citizens regardless of income levels.  People who earn more than a certain amount in income should have to pay more taxes, and corporations that pollute should have to pay the most taxes of all to support this!",0.387857143,0.454285714,0.963883917,0.036116083
"I am strongly in support of ANYTHING you can do to encourage increased numbers of non-carbon burning cars.   The local power plants still get 20% approximately of their electricity from coal, but it is a start.  When solar banks can give us electricity, we will have the ultimate winner!",0.008333333,0.583333333,0.683993571,0.316006429
"$2,500 seems too low to encourage lower income households to participate.",0,0.3,0.229030314,0.770969686
"I oppose any program to scrap older vehicles. Not all older vehicles are fuel-inefficient. Cash for clunkers was a disaster and deprived many Americans of affordable transportation",0.277777778,0.388888889,0.983566406,0.016433594
"Thank you for implementing incentives to encourage the purchase or lease of zero-emission vehicles.  My primary comment is that the $2,500 incentive for low income residents sets way too high a bar to be useful.  The number of people that own a car over 20 years old and live in an area with serious air pollution and meet the income requirements is probably so small to be meaningless.  Let's keep it simple.  Just use the income as the determinant of whether someone qualifies for getting the $2,500 rebate.  The purpose of this is to expedite the uptake of zero-emission vehicles.  So let's do it and not make it so hard especially for people who might not be able to buy one otherwise.  Thank you for pushing ahead with this incentive.  I happen to own an electric car which we purchased in 2017 - a Chevy Bolt. I would love to see thousands of similar cars travelling around Oregon.  The next step is to make sure the charging infrastructure is in place.  Thank you.",0.127440191,0.553650794,0.005735593,0.994264407
"I believe the vehicle incentive should be retroactive back to 10/17 and continue for as long as possible. Now is the time to get off fossil fuels and switch to EV's and 100% renewable energy sources. Oregon is fortunate to have mostly renewable sources of energy and we need to commit to clean energy. I took advantage of the last incentive program two years ago and got photovoltaic on my roof and an electric vehicle drastically reducing my carbon footprint. I know more people who would do the same if these incentives were offered today. Tax the fossil fuel industry heavily and use those funds to get people in EV's and on electrical generation and off of fracked gas.",0.151666667,0.449166667,0.633479102,0.366520898
"My wife and I 100% support State govt. doing all it can to foster/increase electric vehicles or other zero emission cars or trucks.  We support OAR 340, division number 270.  We may have missed it but saw nothing about fostering more charging stations all across Oregon.  Also fostering solar panels on vehicle roofs and on parking lots to power charging stations/plug ins.   Oregon should make rules and pass laws for all of these features to better clean our air of exhaust pollution.",0.310416667,0.51875,0.005758478,0.994241522
"I urge you to assure that there's an ongoing Electric Vehicle Rebate program. I bought an electric car last year mainly because of the rebates, which made it more affordable. It was a huge incentive. If we want a zero-emissions state or country, we have to give environmental incentives as much as we give to oil & coal.",0.253333333,0.4,0.949031491,0.050968509
"Regardless of the industry, incentives are one of many keys that continue to drive good behaviors for our local economy.  Consumers and small businesses who invest in EV's and solar collection systems, via the purchase of goods and services from an Oregon based business, favorably impact our economy each and every day.  We see the positive results in our employment reports and ongoing business expansion in numerous Oregon communities.  Like others commenting on the effective date, I support a retroactive rebate back to the date Gov. Brown signed off - August 2017.",0.222159091,0.418181818,0.999507827,0.000492173
"Anything that helps cut emissions should be pursued by the State of Oregon. We should be the leader in all things pertaining to the environment.  People  move here for the natural beauty of our State and our forward looking environmental policies, so this is a MUST!?",0.125,0.4,0.958669399,0.041330601
"The EV rebate was the right thing to do, it was the right way to tackle air quality concerns, and it should be completed by being put into affect. We all breathe the same air, and we all live on the same earth. Climate change is real, and we must take steps to address it, or it will have devastating effects on humans and all organisms. We need to stop putting CO2 into the atmosphere-and the EV debate is a great way to encourage that changed behavior.",0.088474026,0.483928571,0.999593811,0.000406189
"Page 18 of the proposed rules states that there are no Federal Rules concerning rebates for Zero emission vehicles, where in fact there are rules. Shouldn't these rules be addressed and some discussion as to why the proposed Oregon rules are different as pertaining to the eligible vehicles?. https://www.irs.gov/businesses/qualified-vehicles-acquired-after-12-31-2009   Here is a link to the Federal rules.  Shouldn't Oregon use a phaseout approach for certain vehicles similar to the Federal rules? Why is Oregon selecting a 10 kWh battery size vs the Federal 5 kWh battery size?   Is the rule also adds a minimum of 10 miles electric range (which is good,) for eligible vehicles, but should discuss why it is different from the Federal rules I think using the more restrictive rules may match other states which is good, but should be noted as to why different than the Federal. Following the more restrictive requirements, since we are a ZEV state is great.",0.274107143,0.516369048,0.998345776,0.001654224
"Trying to promote zero emission vehicles is noble, but there are costs associated with electric cars that are problematic.  Mining for battery production creates pollution in itself (lithium).  Cobalt, another key ingredient, is in short supply and will be unable to meet projected demand.////  Many of the vehicles targeted by this rebate policy are for the upper middle class - Tesla and BMW taking the lead.  This demographic hardly needs help.  No mention is made of the fact that our infrastructure loses funding as EV,s become commonplace.  No point to give a break one place and tax another.",0.000925926,0.426851852,0.287766408,0.712233592
"Please move this forward so citizens will be incentivized to transition to the clean energy we need in our future. We must get off of fossil fuels as they are changing the basic dynamics of our only habitat.",0.091666667,0.4875,0.960936725,0.039063275
"Please help make choosing an electric vehicle more affordable.",0.5,0.5,0.315900147,0.684099853
"Based on the information that was available when the program was introduced last year ""The provisions of HB 2017 establishing this program became effective on October 6, 2017."", a lot of people believed as we did, that the qualification period would start at the effective  date, i.e. 10-6-2017. Pushing it back now to 1-1-2018 is not fair to the people that purchased their vehicles end of last year. Therefore, please consider what was stated in the initial announcement and honor the qualification date of last year October.",0.138888889,0.344444444,0.983171035,0.016828965
"The creation of a zero-emission vehicle rebate program is a very important strategy for reducing emissions from our transportation sector.  If we in Oregon are to meet our commitment to respond to the dangers of our warming world, this is certainly an important step we can and should take now.",0.46,1,0.990457661,0.009542339
"For charge ahead rebate : the should not be any income ruling it should be any card which are 20year old n above should be given this rebate . Because if you set limit on income , it will be very difficult for low/moderate income person to provide any details and extra paperwork . Also there is no mention on the income limit to qualify for this program anywhere ?",-0.1375,0.35,0.906109989,0.093890011
"I support offering rebtes to people in Oregon who purchased EV/PHEVs in 2018. They are helping keep Oregon green.",-0.2,0.3,0.631485286,0.368514714
"We purchased our plug-in Prius on Aug. 29, 2017 assuming we could get an Oregon rebate.  Please adhere to 2017 Adopted Rules.",0,0,0.414825483,0.585174517
"A rebate jis a way to increase the number of ZEV's on the road.  Oregon is not going to meet its projected goals as we keep doing business as usual.  We really need a massive program to remove old cars from the road.  CAFE standards are only good for new cars.  We also need to ban diesel cars and buses from the roads. Rebates help people to get on board I think it is great to identify folks from low income household to get a benefit.  Really, a 20 yr old car? That is 1998-Why not start with a later yr..like 2000?",0.162396694,0.450413223,0.992191733,0.007808267
"Please provide rebates to electric car purchasers.  This will greatly enable more residents to purchase these vehicles that will pollute far less.  Thank you very much.",0.298666667,0.515333333,0.746408613,0.253591387
"This program will be incredibly successful and great for Oregon. I agree with others who have commented that the vehicle base MSRP (without options) should be limited to $50,000 not the purchase price because the way the rule is currently written it could slow the adoption of the first round of compelling mass market electric vehicles by limiting options to vehicles with shorter range and slower charging capabilities. In order to promote the quickest transition of the vehicle fleet to zero emissions vehicles and economies of scale that can reduce the price of ZEVs and negate the need for ZEV incentives early adopter consumers will need to purchase cars that hover in the $50,000s. This is more than most consumers are traditionally accustomed to paying up front and the $2,500 rebate can still be very helpful to this group of consumers",0.144897959,0.52329932,0.998955354,0.001044646
"Attached",0,0,0.38,0.62
"Please adopt the Zero Emission and Electric Vehicle Rebate program",0,0,0.498272227,0.501727773
"Since the goal of this program is to encourage people to transition to zero emission vehicles, ANY fully electric or hydrogen fuel cell vehicle should be candidates for a rebate, regardless of base price.  A maximum base price would only prevent some of the longer range battery electric vehicles from qualifying, such as the Tesla Model X, Model S, and Jaguar I-Pace.   Plug-in hybrids, however should not qualify for a rebate since most have very small battery packs (less than 10kWh), which often provide electric-only ranges well below the average commute.  And even in electric-only mode with most plug-in hybrids, pressing the gas pedal down far enough will engage the internal combustion engine to assist.  These cars continue to harm our health, the environment, and maintain our reliance on oil.",-0.099786325,0.55965812,0.979320286,0.020679714
"The retroactive rebate element of the plan is broken.  All Oregonians benefit from each electric motor powered vehicle mile that replaces an internal combustion engine powered vehicle mile.  Electric powered vehicles that were purchased longest ago have benefited us all the most, and those most recently purchased have benefited us all the least.  The retroactive rebate as envisioned now acts in exactly the opposite way, it rewards those who purchased electric vehicles recently and ignores those who foresaw the issue long ago and took action.  This needs to be fixed.  It may be easier to use an arbitrary rebate eligibility span beginning in January of '18 or even October of '17, but this is the wrong thing to do.  Just because it is easy does not bake it right.  Rebates need to be offered to those who purchased electric vehicles first.  Electric power only vehicles should see a greater rebate than plug-in hybrid vehicles.  The relative amounts would be arbitrary, probably based on average electric power to gasoline power ratio from typical hybrid vehicle usage, but the rebate system should incentivise 100% electric vehicle purchases to a greater amount than plug-in hybrid vehicle purchases.",0.068849206,0.41468254,0.998864268,0.001135732
"See attached comments",0,0,0.379230053,0.620769947
"nan",0,0,0.75,0.25
"I compliment DEQ for introducing a rebate program focused on incentivizing consumers to purchase or lease zero-emission vehicles.  The comparative cost of power train systems between fossil fueled and electric powered vehicles is narrowing as EV technology and product manufacturing continues to evolve.  That said, if the vehicle choice of today�۪s consumer is based on purchase price then rebate programs such as this will go a long way in helping bridge the consumer�۪s adoption and demand for zero-emission vehicles.   As the US distributor of a 30 mph pure electric motorcycle, I would like to make a strong suggestion that DEQ reconsider their proposed rule that an electric motorcycle must be capable of attaining a speed of 55 mph or greater to qualify for this rebate program.   A speed of 55 mph or greater would suggest that the primary focus of this rebate program is intended for vehicles capable of highway transportation.  The current DEQ proposal is a good plan, but it could be better in helping to drive the use of affordable zero-emissions vehicles used for daily transportation across all economic categories particularly with low to middle income households who could really benefit in replacing 20 year old internal combustion vehicles with clean, affordable zero-emissions urban transportation vehicles.  What if you reconsidered the vast use of vehicles used for inner city, urban transportation and commuting needs that will never see a mile of 55 mph + highway use.  The concentration of internal combustion cars and vehicles in our cities contribute to poor air quality and overall congestion.  I�۪m suggesting the inclusion of two-wheel zero-emission motor vehicles or electric motorcycles that fall into a motor vehicle class or category that ranges in maximum performance speeds of 30 to 50 mph. This performance speed class of electric vehicles is growing and will continue to evolve in our cities and urban environment as an affordable choice for daily transportation.  My recommendation to DEQ is that you consider modifying your proposed rebate program to include 30 to 50 mph, two wheel, zero-emissions motor vehicles as well.  Thank you.",0.141031746,0.321111111,0.991006739,0.008993261
"I just bought a hybrid plug in (2017 Ford C-Max energi).  Ford has quit making these cars because so few were purchased.  A solid rebate program would encourage more people to buy electric vehicles.  I put on solar panels to use instead of coal burning plants to produce my electricity.  We need to m aintain rebates for solar panels and do  more advertising to encourage folks to do both solar panels and plug in cars.",0.2,0.3,0.967697911,0.032302089
"Please see attached file",0,0,0.463329829,0.536670171
"Consider matching the Federal incentive for $7,500 that is expected to expire this summer ill expire for America's largest EV manufacture. Oregon's timing of ZEV tax credits is excellently positioned to help ensure the continued acceptance of EVs and a better future for our grandchildren.",0.18,0.605,0.642660573,0.357339427
"I fully and enthusiatically support the rebate program.  I think the effective date should be moved back to the effective date of the legislation, which I believe was sometime in October of 2017.  I leased a  electric vehicle in November with an understanding that the bill had passed and that the rebate would or should apply to such leases given the legislature's apparent intent.  I  believe that the charge ahead program has great potential and that helping lower and moderate income people purchase EVs, especially used EVS will be most beneficial.  I hope that the agency will developed some simple forms to help people meet the requirement of showing how they meet the income, residential location, and scrap requirements.  I wish the legislature had either not included the scrap requirement or made it so that it was a bonus rebate so that an otherwise qualified person would receive at least half of the intended rebate even if they did not scrap a car of at least 20 years old.",0.123958333,0.513988095,0.999996357,0.00000364
"I support this. We need to get away from Fossil Fuels. The NW uses renewable energy and can benefit greatly.",0.8,0.75,0.884337201,0.115662799
"We support zero-emission vehicle rebates which encourage vehicle buyers to consider, and hopefully purchase, zero-emission vehicles.  This in turn helps all of Oregons citizens by reducing the amount of pollution in our air.  We also encourage DEQ not to have a maximum on the EV car purchase price to qualify for rebate.  Why discourage a buyer from buying a car with longer range?  More expensive cars usually have longer range.  Putting a maximum purchase price may discourage those living in rural areas from considering EV's.  Thank you",-0.0625,0.3625,0.968166159,0.031833841
"This would be a great program. In the use of fossil fuels, there are unpaid externalities in the form of air pollution locally, and greenhouse gases globally. This program would help encourage the use of electric vehicles, and encourage the implementation of more renewable energy sources.",0.3,0.33,0.188807387,0.811192613
"Oregon has long been one of the leadres in helping driverz shift their dependence from fossil fuel vehicles.  Until the auto industry makes a greater comitment to electric & hybrid vehicles, we need to continue to provide car buyers with incentives so that we leave our children & grandchildren with a liveable environment.",0.225,0.45,0.810538027,0.189461973
"We need to pass a law that favors electric cars. We need to keep Oregon green!",-0.25,0.3,0.403695534,0.596304466
"Here is the link for the EV I support the EV rebate program and wish it to be implemented as soon as possible to encourage and accelerate mass adoption of clean and cleaner fueled vehicles.",0.183333333,0.85,0.952646468,0.047353532
"I support the EV rebate program and wish it to be implemented as soon as possible to encourage and accelerate mass adoption of clean and cleaner fueled vehicles.",0.183333333,0.85,0.95333736,0.04666264
"PHEVs like the Chevrolet Volt do NOT FULLY deplete the battery before partially recharging by means of the ICE and generator.  Recharging will occur at about 10-20% battery state-of-charge.",-0.1,0.3,0.555322319,0.444677681
"The best way to promote the use of electric vehicles is through a vehicle rebate program.  These cars are very expensive and the best EVs will easily cost more than the proposed $50K MSRP cap.  People should be allowed to purchase the most efficient EV in terms of range and required options.  Oregon is a vast state and many require the added range that is required to travel the state.  The initial group of EVs currently for sale easily exceed the $50K limit. Limiting the $50K to base price would be a better option.  This will incentivize the greatest number of people who aren't interested in the least capable EV currently offered, but will adopt the EV that meets their needs that currently cannot be purchased for an MSRP of under $50K.",0.240350877,0.561929825,0.998356161,0.001643839
"As an Oregon taxpayer I fully support this rebate and believe it should be implemented to help spur a faster transition to cleaner energy consumption. I will continue to support Oregon towards becoming a leader in renewable energy (both generation and consumption) in order to keep our state clean and green.",0.205555556,0.616666667,0.999433904,0.000566096
"please see attached document for public comment",0,0.066666667,0.363798336,0.636201664
"Proposed Rules are Misguided, Disregard Small Electric Vehicles.  See attached testimony, with photos.",-0.25,0.4,0.12990174,0.87009826
"nan",0,0,0.75,0.25
"Fair and Responsible",0.45,0.725,0.415467626,0.584532374
"Attached",0,0,0.38,0.62
